     series id       , year , period , value 
 LASST010000000000003 ,2019,  M01   ,3.6
 LASST010000000000003 ,2018,  M01   ,3.9
 LASST010000000000003 ,2017,  M01   ,5.4
 LASST010000000000003 ,2016,  M01   ,6
 LASST010000000000003 ,2015,  M01   ,6
 LASST010000000000003 ,2014,  M01   ,7.2
 LASST010000000000003 ,2013,  M01   ,7.5
 LASST010000000000003 ,2012,  M01   ,8.1
 LASST010000000000003 ,2011,  M01   ,10.2
 LASST010000000000003 ,2010,  M01   ,11.7
 LASST020000000000003 ,2019,  M01   ,6.1
 LASST020000000000003 ,2018,  M01   ,6.7
 LASST020000000000003 ,2017,  M01   ,6.9
 LASST020000000000003 ,2016,  M01   ,6.7
 LASST020000000000003 ,2015,  M01   ,6.5
 LASST020000000000003 ,2014,  M01   ,7
 LASST020000000000003 ,2013,  M01   ,7
 LASST020000000000003 ,2012,  M01   ,7.4
 LASST020000000000003 ,2011,  M01   ,7.8
 LASST020000000000003 ,2010,  M01   ,8
 LASST040000000000003 ,2019,  M01   ,4.9
 LASST040000000000003 ,2018,  M01   ,4.8
 LASST040000000000003 ,2017,  M01   ,5.1
 LASST040000000000003 ,2016,  M01   ,5.6
 LASST040000000000003 ,2015,  M01   ,6.4
 LASST040000000000003 ,2014,  M01   ,7.3
 LASST040000000000003 ,2013,  M01   ,7.9
 LASST040000000000003 ,2012,  M01   ,8.7
 LASST040000000000003 ,2011,  M01   ,9.8
 LASST040000000000003 ,2010,  M01   ,10.9
 LASST050000000000003 ,2019,  M01   ,3.6
 LASST050000000000003 ,2018,  M01   ,3.7
 LASST050000000000003 ,2017,  M01   ,3.7
 LASST050000000000003 ,2016,  M01   ,4.2
 LASST050000000000003 ,2015,  M01   ,5.6
 LASST050000000000003 ,2014,  M01   ,6.6
 LASST050000000000003 ,2013,  M01   ,7.4
 LASST050000000000003 ,2012,  M01   ,7.7
 LASST050000000000003 ,2011,  M01   ,8.5
 LASST050000000000003 ,2010,  M01   ,8.2
 LASST060000000000003 ,2019,  M01   ,4.3
 LASST060000000000003 ,2018,  M01   ,4.4
 LASST060000000000003 ,2017,  M01   ,5.2
 LASST060000000000003 ,2016,  M01   ,5.7
 LASST060000000000003 ,2015,  M01   ,6.8
 LASST060000000000003 ,2014,  M01   ,8.2
 LASST060000000000003 ,2013,  M01   ,9.6
 LASST060000000000003 ,2012,  M01   ,11
 LASST060000000000003 ,2011,  M01   ,12.1
 LASST060000000000003 ,2010,  M01   ,12.2
 LASST080000000000003 ,2019,  M01   ,3.2
 LASST080000000000003 ,2018,  M01   ,3
 LASST080000000000003 ,2017,  M01   ,2.8
 LASST080000000000003 ,2016,  M01   ,3.5
 LASST080000000000003 ,2015,  M01   ,4.3
 LASST080000000000003 ,2014,  M01   ,6
 LASST080000000000003 ,2013,  M01   ,7.4
 LASST080000000000003 ,2012,  M01   ,8.2
 LASST080000000000003 ,2011,  M01   ,8.8
 LASST080000000000003 ,2010,  M01   ,8.3
 LASST090000000000003 ,2019,  M01   ,3.8
 LASST090000000000003 ,2018,  M01   ,4.5
 LASST090000000000003 ,2017,  M01   ,4.8
 LASST090000000000003 ,2016,  M01   ,5.5
 LASST090000000000003 ,2015,  M01   ,6.1
 LASST090000000000003 ,2014,  M01   ,7.2
 LASST090000000000003 ,2013,  M01   ,8.2
 LASST090000000000003 ,2012,  M01   ,8.2
 LASST090000000000003 ,2011,  M01   ,9.2
 LASST090000000000003 ,2010,  M01   ,9
 LASST100000000000003 ,2019,  M01   ,3.5
 LASST100000000000003 ,2018,  M01   ,4.1
 LASST100000000000003 ,2017,  M01   ,4.6
 LASST100000000000003 ,2016,  M01   ,4.6
 LASST100000000000003 ,2015,  M01   ,5.1
 LASST100000000000003 ,2014,  M01   ,6.1
 LASST100000000000003 ,2013,  M01   ,7.2
 LASST100000000000003 ,2012,  M01   ,7.1
 LASST100000000000003 ,2011,  M01   ,7.9
 LASST100000000000003 ,2010,  M01   ,8.8
